user_id,date,steps,sleep_min,workout_duration_min_tot,weight,calories_burned,calories_consumed
,04/08/2025,8754,443,121,74,3148,2598
,05/08/2025,9184,445,127,73.8,3176,2608
,06/08/2025,6810,473,54,73.7,2701,2610
,07/08/2025,9321,445,128,74.2,3449,3007
,08/08/2025,14292,504,153,73.1,3174,2758
,09/08/2025,17114,471,124,73.7,3073,2780
,10/08/2025,21195,496,144,73.5,3080,2662
,11/08/2025,11426,449,143,73.5,3147,2788
,12/08/2025,11094,447,102,73.6,2977,3140
,13/08/2025,11648,411,117,74.5,3001,1948
,14/08/2025,9279,430,58,73.8,2735,2906
,15/08/2025,10102,275,50,74.2,2474,2717
,16/08/2025,13906,495,129,73.6,3064,2892
,17/08/2025,15097,418,93,73.6,2772,
,18/08/2025,12528,491,135,73.2,2953,2779
,19/08/2025,11928,446,129,73,3142,2770
,20/08/2025,17466,394,110,73.2,2890,2815
,21/08/2025,18252,441,172,72.8,3074,2831
,22/08/2025,19287,492,171,73,3211,2855
,23/08/2025,18203,552,138,72.4,3442,3419
,24/08/2025,5044,325,8,73.3,2199,
,25/08/2025,15079,451,143,73.6,3259,2798
,26/08/2025,11656,450,147,73.1,3312,2865
,27/08/2025,10309,464,135,73.3,2996,2879
,28/08/2025,17486,454,177,73,3176,2827
,29/08/2025,13642,433,146,72.7,3156,3062
,30/08/2025,17281,422,142,73.2,3361,2739
,31/08/2025,19401,440,143,73.5,2996,2405
,01/09/2025,6756,474,123,73.2,3068,2918
,02/09/2025,16002,421,164,72.7,3174,2934
,03/09/2025,15828,460,239,72.5,4471,4100
,04/09/2025,10036,474,69,72.5,2634,3297
,05/09/2025,12285,436,98,73,2789,2539
,06/09/2025,22253,496,216,72.5,3423,2956
,07/09/2025,18987,,187,73,,